Name	A	B	C	D	E	Magimin	Price	Value	Taste	Touch	Smell	Sight	Sound	PriceMod	Type	Rarity	Location
Fairy Flower Bulb	4	0	0	0	0	4	14	0.286			Good			5%	Flower	Common	Enchanted Forest
Impstool Mushroom	0	4	0	0	0	4	17	0.235		Good				5%	Fungus	Common	Enchanted Forest
Rotfly Larva	0	0	4	0	0	4	10	0.400	Good					5%	Bug	Common	Enchanted Forest
Feyberry	6	0	0	0	0	6	4	1.500						0%	Fruit	Common	Enchanted Forest
Mandrake Root	0	6	0	0	0	6	4	1.500						0%	Plant	Common	Enchanted Forest
Sack of Slime	0	0	6	0	0	6	7	0.857						0%	Slime	Common	Enchanted Forest
Kappa Pheromones	4	0	4	0	0	8	13	0.615						0%	Essences	Uncommon	Enchanted Forest
Pixiedust Diamond	0	4	4	0	0	8	14	0.571						0%	Gem	Uncommon	Enchanted Forest
River Calamari	8	0	0	0	0	8	5	1.600		Bad				-5%	Fish	Common	Enchanted Forest
River-Pixie's Shell	4	4	0	0	0	8	11	0.727						0%	Mineral	Uncommon	Enchanted Forest
Serpent's Slippery Tongue	0	8	0	0	0	8	6	1.333			Bad			-5%	Flesh	Common	Enchanted Forest
Unicorn Horn	0	0	8	0	0	8	6	1.333	Bad					-5%	Bone	Common	Enchanted Forest
Cubic Ooze	3	3	3	0	0	9	16	0.563						0%	Slime	Rare	Enchanted Forest
Desert Metal	0	12	0	0	0	12	25	0.480		Good				5%	Ores	Common	Bone Wastes
Fairy Flower Bud	12	0	0	0	0	12	23	0.522			Good			5%	Flower	Common	Bone Wastes
Murkwater Pearl	0	0	0	12	0	12	27	0.444					Good	5%	Gem	Uncommon	Mushroom Mire
Rotfly Cocoon	0	0	12	0	0	12	25	0.480	Good					5%	Bug	Uncommon	Bone Wastes
Trollstool Mushroom	0	12	0	0	0	12	20	0.600		Good				5%	Fungus	Common	Mushroom Mire
Wraith Orchid	0	0	0	12	0	12	19	0.632						0%	Flower	Common	Mushroom Mire
Bramble Rose	16	0	0	0	0	16	45	0.356		Good			Good	10%	Flower	Uncommon	Sulfuric Falls
Celestial Ore	0	0	16	0	0	16	45	0.356	?	?	?	?	?	10%
Eye of Newt	0	16	0	0	0	16	34	0.471	Good	Good				10%	Flesh	Uncommon	Ice Craggs
Crocodile Tooth	6	0	12	0	0	18	20	0.900						0%	Bone	Common	Bone Wastes
Glass Ore	0	0	0	18	0	18	24	0.750						0%	Ores	Common	Bone Wastes
Horned Jelly	18	0	0	0	0	18	20	0.900		Bad			Good	0%	Slime	Uncommon	Bone Wastes
Manwyrm Root	0	18	0	0	0	18	14	1.286						0%	Plant	Common	Bone Wastes
Mud Shrimp	6	0	12	0	0	18	""				Good			5%	Fish	Rare	Mushroom Mire
Puckberry	18	0	0	0	0	18	16	1.125						0%	Fruit	Common	Mushroom Mire
Sack of Hive Slime	0	0	18	0	0	18	21	0.857						0%	Slime	Common	Mushroom Mire
